State,ABB,City,Status
Texas,TX,Alvin,
Washington,WA,Veradale,
Virginia,VA,Wytheville,
New Hampshire,NH,Franklin,
North Dakota,ND,Lamoure,
South Carolina,SC,Seneca,
Wyoming,WY,Alta,
Nebraska,NE,Ord,
Wisconsin,WI,Oconomowoc,
Tennessee,TN,Milan,
Utah,UT,Orem,
New Mexico,NM,Jemez Pueblo,
West Virginia,WV,Clarksburg,
South Dakota,SD,Yankton,
Georgia,GA,Chatsworth,
Kansas,KS,Manhattan,
Arizona,AZ,Miami,
North Dakota,ND,Saint Michael,
Arkansas,AR,Fordyce,
North Dakota,ND,Hatton,
Massachusetts,MA,Dorchester,
South Carolina,SC,North Myrtle Beach,
North Carolina,NC,Leland,
New Jersey,NJ,Matawan,
New Jersey,NJ,Flemington,
Arizona,AZ,Wickenburg,
Connecticut,CT,Plantsville,
Missouri,MO,Dexter,
Louisiana,LA,Baker,
New Mexico,NM,Mountainair,
Utah,UT,Hyde Park,
Maine,ME,Harpswell,
Kentucky,KY,Burlington,
South Dakota,SD,Watertown,
New Jersey,NJ,Williamstown,
New Mexico,NM,Peralta,
Nebraska,NE,Lincoln,
New Jersey,NJ,Livingston,
Maine,ME,Presque Isle,
Pennsylvania,PA,East Stroudsburg,
Vermont,VT,Fairfax,
Vermont,VT,Starksboro,
Maryland,MD,Forest Hill,
Wyoming,WY,Cheyenne,
Arizona,AZ,Douglas,
Colorado,CO,Boulder,
Arkansas,AR,Monticello,
Alabama,AL,Millbrook,
Louisiana,LA,Winnsboro,
Nebraska,NE,Fremont,
New Hampshire,NH,Keene,
Minnesota,MN,Northfield,
Texas,TX,Rio Grande City,
Kansas,KS,Eudora,
South Carolina,SC,Hartsville,
Rhode Island,RI,Oakland,
Colorado,CO,Lafayette,
North Carolina,NC,Mocksville,
Connecticut,CT,Westport,
New Mexico,NM,Lovington,
Kentucky,KY,Newport,
Tennessee,TN,Covington,
New York,NY,Ridgewood,
North Dakota,ND,Hankinson,
Kentucky,KY,Danville,
Washington,WA,Kennewick,
New York,NY,Hicksville,
North Dakota,ND,Minto,
New York,NY,Bronx,
Louisiana,LA,Abbeville,
Iowa,IA,Cherokee,
Colorado,CO,Durango,
Washington,WA,North Bend,
Montana,MT,Hardin,
Idaho,ID,Bellevue,
Kansas,KS,Baxter Springs,
Kansas,KS,Lansing,
Michigan,MI,Temperance,
Vermont,VT,Rutland,
Kentucky,KY,Mount Washington,
Wisconsin,WI,Pewaukee,
West Virginia,WV,Danville,
Texas,TX,Mansfield,
Arkansas,AR,Conway,
Kansas,KS,Great Bend,
Kentucky,KY,Franklin,
Alaska,AK,Kodiak,
Idaho,ID,Coeur D Alene,
Maine,ME,South Paris,
Washington,WA,Maple Valley,
Utah,UT,Wellsville,
Wyoming,WY,Glendo,
Virginia,VA,Pulaski,
Oklahoma,OK,Tuttle,
Pennsylvania,PA,Phoenixville,
Pennsylvania,PA,Pottstown,
Kansas,KS,Atchison,
Michigan,MI,Macomb,
Florida,FL,Fort Walton Beach,
Massachusetts,MA,Chelsea,
Maryland,MD,Nottingham,
Minnesota,MN,Marshall,
South Carolina,SC,Chapin,
Maryland,MD,Fort Washington,
South Dakota,SD,Brookings,
Indiana,IN,Fort Wayne,
Georgia,GA,Stockbridge,
Nebraska,NE,Kimball,
Tennessee,TN,Lewisburg,
Kentucky,KY,Oak Grove,
Indiana,IN,Schererville,
Arkansas,AR,Mountain View,
Vermont,VT,Huntington,
North Dakota,ND,Drayton,
Maryland,MD,Greenbelt,
Oklahoma,OK,Wilburton,
Montana,MT,Baker,
Kentucky,KY,Russellville,
Illinois,IL,Addison,
North Dakota,ND,Richardton,
Massachusetts,MA,Attleboro,
Missouri,MO,Kansas City,
Oklahoma,OK,Cleveland,
Vermont,VT,Grand Isle,
Montana,MT,Manhattan,
South Dakota,SD,North Sioux City,
New Jersey,NJ,New Brunswick,
Alabama,AL,Tuscumbia,
Pennsylvania,PA,Aliquippa,
New Mexico,NM,Deming,
South Dakota,SD,Saint Francis,
South Carolina,SC,Lake City,
South Dakota,SD,Colton,
Illinois,IL,Bloomington,
California,CA,Delano,
Massachusetts,MA,Arlington,
Utah,UT,Springville,
Oklahoma,OK,Henryetta,
New Hampshire,NH,Newton,
Nevada,NV,Austin,
Maine,ME,Windham,
Maine,ME,Limington,
Arkansas,AR,Star City,
Mississippi,MS,Kosciusko,
Nebraska,NE,Wahoo,
Kentucky,KY,Lancaster,
Oklahoma,OK,Eufaula,
Illinois,IL,Calumet City,
West Virginia,WV,Elizabeth,
New Jersey,NJ,Mount Laurel,
Oregon,OR,Clackamas,
Delaware,DE,Rehoboth Beach,
Indiana,IN,Dyer,
Texas,TX,Midland,
Maryland,MD,Derwood,
Arkansas,AR,Atkins,
Georgia,GA,Lawrenceville,
Arkansas,AR,Prescott,
Alabama,AL,Athens,
Texas,TX,Richardson,
Maine,ME,Brewer,
Texas,TX,Kerrville,
Pennsylvania,PA,Drexel Hill,
Utah,UT,Mendon,
Alabama,AL,Robertsdale,
Delaware,DE,Georgetown,
Rhode Island,RI,Carolina,
Nebraska,NE,Lexington,
Delaware,DE,Newark,
Arizona,AZ,Dewey,
Nebraska,NE,Morrill,
Idaho,ID,Wendell,
New York,NY,North Tonawanda,
Arkansas,AR,Paragould,
West Virginia,WV,Culloden,
Florida,FL,Windermere,
Mississippi,MS,Coldwater,
Idaho,ID,Oldtown,
Missouri,MO,Oak Grove,
Illinois,IL,Carol Stream,
Mississippi,MS,Collins,
Texas,TX,Mercedes,
Indiana,IN,Huntington,
Montana,MT,Seeley Lake,
Indiana,IN,Angola,
Maine,ME,Biddeford,
Georgia,GA,Conyers,
Oregon,OR,Astoria,
Connecticut,CT,Ansonia,
Massachusetts,MA,Wakefield,
California,CA,Pomona,
Florida,FL,Clermont,
Hawaii,HI,Holualoa,
Oregon,OR,Monmouth,
Oregon,OR,Florence,
California,CA,Sacramento,
New Jersey,NJ,Elizabeth,
Hawaii,HI,Mountain View,
Minnesota,MN,Champlin,
West Virginia,WV,Inwood,
Montana,MT,Park City,
Hawaii,HI,Aiea,
Hawaii,HI,Kaunakakai,
New Jersey,NJ,Passaic,
Florida,FL,Winter Springs,
Massachusetts,MA,Shrewsbury,
South Dakota,SD,Elkton,
Michigan,MI,Wyandotte,
Washington,WA,Blaine,
Minnesota,MN,Hugo,
Kentucky,KY,London,
Iowa,IA,Albia,
Connecticut,CT,New London,
Oregon,OR,Myrtle Creek,
Maine,ME,Naples,
Arkansas,AR,West Memphis,
Kentucky,KY,Princeton,
Minnesota,MN,Hibbing,
Nebraska,NE,Tekamah,
Oregon,OR,Corvallis,
New York,NY,Monroe,
Nebraska,NE,Mc Cook,
Minnesota,MN,Fergus Falls,
Missouri,MO,Eureka,
Michigan,MI,Redford,
Connecticut,CT,Waterford,
Massachusetts,MA,Needham,
North Carolina,NC,Burlington,
Indiana,IN,Chesterton,
North Dakota,ND,Surrey,
Minnesota,MN,Monticello,
Massachusetts,MA,Hingham,
Minnesota,MN,New Prague,
Virginia,VA,Hampton,
North Dakota,ND,Hettinger,
Arizona,AZ,Chinle,
Arkansas,AR,Judsonia,
Tennessee,TN,Union City,
Montana,MT,Lolo,
North Carolina,NC,Washington,
Nebraska,NE,Hastings,
Colorado,CO,Gypsum,
Illinois,IL,Wheaton,
Mississippi,MS,Southaven,
Maine,ME,Bucksport,
Wyoming,WY,Baggs,
Mississippi,MS,Winona,
Ohio,OH,Powell,
Illinois,IL,Frankfort,
West Virginia,WV,Williamson,
Texas,TX,Beaumont,
Massachusetts,MA,Tewksbury,
Tennessee,TN,Erwin,
Tennessee,TN,Collierville,
Florida,FL,Ocoee,
Louisiana,LA,Tickfaw,
Idaho,ID,Mccammon,
Utah,UT,West Jordan,
Virginia,VA,Haymarket,
Arizona,AZ,Prescott,
Oklahoma,OK,Blackwell,
Maryland,MD,Beltsville,
Kansas,KS,Larned,
North Dakota,ND,Emerado,
Alabama,AL,Pelham,
Kentucky,KY,Hopkinsville,
Wyoming,WY,Shoshoni,
Alabama,AL,Tallassee,
West Virginia,WV,Fayetteville,
Iowa,IA,Iowa Falls,
Connecticut,CT,Windsor,
North Carolina,NC,Dunn,
Wisconsin,WI,Wausau,
Iowa,IA,Glenwood,
Maine,ME,Rumford,
Mississippi,MS,Crystal Springs,
Ohio,OH,Chillicothe,
New Hampshire,NH,Littleton,
Vermont,VT,Castleton,
New Jersey,NJ,Elizabethport,
Vermont,VT,Underhill,
North Dakota,ND,Dickinson,
Ohio,OH,Loveland,
New Mexico,NM,Gallup,
Idaho,ID,Middleton,
New Jersey,NJ,West New York,
New York,NY,Wappingers Falls,
Idaho,ID,Emmett,
Virginia,VA,Chesterfield,
Ohio,OH,Delaware,
Missouri,MO,Lees Summit,
Washington,WA,Edmonds,
Utah,UT,Logan,
Georgia,GA,Monroe,
Arizona,AZ,Apache Junction,
South Dakota,SD,Pine Ridge,
Washington,WA,Quincy,
Connecticut,CT,Danielson,
Georgia,GA,Richmond Hill,
North Dakota,ND,Valley City,
Oklahoma,OK,Woodward,
Missouri,MO,Raymore,
Utah,UT,Fairview,
Hawaii,HI,Keaau,
Missouri,MO,Mexico,
Tennessee,TN,Kingsport,
Connecticut,CT,North Haven,
Florida,FL,Homestead,
Missouri,MO,West Plains,
West Virginia,WV,Wellsburg,
New Mexico,NM,Loving,
Michigan,MI,Clinton Township,
Louisiana,LA,Ruston,
Wyoming,WY,Cora,
Illinois,IL,Mchenry,
North Carolina,NC,Newton,
Washington,WA,Hoquiam,
Massachusetts,MA,Dedham,
Tennessee,TN,Smithville,
New Mexico,NM,Bloomfield,
Arizona,AZ,Phoenix,
New Mexico,NM,Hurley,
Nevada,NV,Goldfield,
Indiana,IN,Columbus,
Iowa,IA,Osage,
New Hampshire,NH,Exeter,
New Hampshire,NH,Alton,
Idaho,ID,Meridian,
Vermont,VT,North Bennington,
North Carolina,NC,North Wilkesboro,
Virginia,VA,Smithfield,
California,CA,Tulare,
Vermont,VT,Newbury,
New Jersey,NJ,Hillsborough,
Alaska,AK,Clear,
North Carolina,NC,Henderson,
New Hampshire,NH,New Boston,
West Virginia,WV,Winfield,
South Carolina,SC,Woodruff,
Kansas,KS,Wellington,
Ohio,OH,Dublin,
Ohio,OH,Piqua,
Oregon,OR,Coquille,
Montana,MT,White Sulphur Springs,
Rhode Island,RI,Shannock,
New Jersey,NJ,Irvington,
Nebraska,NE,North Platte,
Montana,MT,Choteau,
Kentucky,KY,Brandenburg,
Minnesota,MN,Faribault,
Colorado,CO,Silt,
Missouri,MO,Kearney,
Alaska,AK,Anchorage,
Illinois,IL,Edwardsville,
California,CA,Milpitas,
Michigan,MI,Grand Haven,
Tennessee,TN,Clinton,
Missouri,MO,Sedalia,
Connecticut,CT,Uncasville,
Maryland,MD,Bel Air,
South Dakota,SD,Tea,
South Carolina,SC,Dillon,
New York,NY,Brooklyn,
Virginia,VA,Vienna,
Minnesota,MN,New Ulm,
Florida,FL,Panama City,
North Carolina,NC,Forest City,
Georgia,GA,Alpharetta,
Tennessee,TN,Lawrenceburg,
Iowa,IA,Bloomfield,
Missouri,MO,Jefferson City,
Michigan,MI,Muskegon,
Washington,WA,Anacortes,
Vermont,VT,Wolcott,
New Hampshire,NH,Suncook,
Wisconsin,WI,Janesville,
New Mexico,NM,El Prado,
Michigan,MI,Lapeer,
New Mexico,NM,Vado,
Oklahoma,OK,Kingfisher,
Washington,WA,Poulsbo,
Washington,WA,Lake Stevens,
North Carolina,NC,Morrisville,
South Carolina,SC,Elgin,
North Dakota,ND,Wishek,
Florida,FL,Port Orange,
Nebraska,NE,Ashland,
New Hampshire,NH,Northwood,
Texas,TX,Edinburg,
Indiana,IN,Camby,
Wisconsin,WI,Sheboygan Falls,
Idaho,ID,Priest River,
Georgia,GA,Gainesville,
Utah,UT,Richfield,
Nevada,NV,Imlay,
Iowa,IA,Evansdale,
New York,NY,Clifton Park,
Oregon,OR,Wilsonville,
Massachusetts,MA,New Bedford,
California,CA,Rancho Cucamonga,
Virginia,VA,Harrisonburg,
Alaska,AK,Eagle River,
Idaho,ID,Hansen,
Kansas,KS,Marysville,
Maryland,MD,Pikesville,
Ohio,OH,Maumee,
Wisconsin,WI,Lake Geneva,
North Dakota,ND,Portland,
West Virginia,WV,Spencer,
Oklahoma,OK,Bixby,
California,CA,Azusa,
Montana,MT,Ronan,
South Carolina,SC,Chester,
Delaware,DE,Hartly,
Washington,WA,Ellensburg,
Idaho,ID,Sagle,
West Virginia,WV,Martinsburg,
Rhode Island,RI,North Kingstown,
West Virginia,WV,Vienna,
Nebraska,NE,Syracuse,
Utah,UT,Pleasant Grove,
Vermont,VT,Westford,
Connecticut,CT,Tolland,
Michigan,MI,Grosse Pointe,
Colorado,CO,Fruita,
