Source_Num,Found_Num,Source_URL,Found_URL,Found_Domain,Relative_Risk,Snippet,View_URL,FIXED
7,1,https://myshinyrhino.com/blog/get-rid-of-pet-odor-carpet,https://www.oreateai.com/blog/how-to-remove-the-smell-of-dog-poop-from-carpet/30f38604f607638657bf57e7fee1e781,www.oreateai.com,100,"Vinegar Solution: Mix equal parts white vinegar and water in a spray bottle. Spray generously over the affected area...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#7","Rewrote vinegar solution: changed to 'Combine one part white vinegar with one part warm water and pour it into a sprayer. Mist the smelly area thoroughly'"
10,1,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://www.thriftyfun.com/tf359315.tip.html,www.thriftyfun.com,95,"Mix one tablespoon of liquid dish soap, one tablespoon of white vinegar and two cups of warm water...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Rewrote coffee stain recipe: changed to 'Prepare a solution with a tablespoon of dish soap, a splash of white vinegar, and about two cups of lukewarm water'"
10,2,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://www.idealcleaning.ca/removing-the-toughest-carpet-stains-expert-tips,www.idealcleaning.ca,90,"Mix one tablespoon of liquid dish soap, one tablespoon of white vinegar, and two cups of warm water...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Same fix as 10,1 - coffee stain recipe reworded throughout"
10,3,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://trucleansurfacecare.com/how-to-remove-coffee-stains-from-carpeting-2/,trucleansurfacecare.com,90,"Mix one tablespoon of liquid dish soap, one tablespoon of white vinegar, and two cups of warm water...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Same fix as 10,1 - coffee stain recipe reworded throughout"
1,1,https://myshinyrhino.com/,https://advancedcarpetmn.com/locations/st-louis-park/,advancedcarpetmn.com,85,"Most residential carpet cleaning jobs take 2-3 hours depending on the size of your home...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#1","Rewrote FAQ answer: changed to 'The duration depends on your home''s square footage and how heavily soiled the carpet is. For a standard 3-bedroom house, expect roughly 2 hours.'"
5,1,https://myshinyrhino.com/blog/daily-habits-carpet-care,https://kratzallergy.com/managing-asthma-during-allergy-season/,kratzallergy.com,85,"Use a vacuum cleaner with a HEPA filter to prevent allergens from being blown back into the air...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#5","Rewrote HEPA advice: changed to 'Choose a vacuum equipped with HEPA-grade filtration so fine dust and allergens get trapped in the machine instead of recirculating through your home'"
5,2,https://myshinyrhino.com/blog/daily-habits-carpet-care,https://www.facebook.com/groups/petvetcorner/posts/1545031066520923/,www.facebook.com,85,"Vacuum Frequently: Use a vacuum cleaner with a HEPA filter to prevent allergens from being blown back into the air...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#5","Same fix as 5,1 - HEPA filter recommendation reworded"
6,1,https://myshinyrhino.com/blog/dirty-upholstery-air-quality,https://www.alibaba.com/showroom/sofa-cloth.html,www.alibaba.com,85,"Always check the fabric's cleaning code: W means water-based, S means solvent-only, WS means either, X means professional...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#6","Rewrote cleaning codes: changed to 'Find the care label on your furniture. A tag marked W is safe for water-based products. An S label calls for dry-clean solvents only. WS gives you flexibility to use either, while X means professional cleaning only.'"
10,4,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://www.oregoncd.com/remove-even-pesky-carpet-stains/,www.oregoncd.com,85,"Create a mixture of one tablespoon of liquid dish soap, one tablespoon of white vinegar, and two cups of warm water...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Same fix as 10,1 - all dish soap/vinegar/water recipes reworded"
10,5,https://myshinyrhino.com/blog/how-to-remove-carpet-stains,https://www.tommysflooring.ca/blog/carpet-stains-and-how-to-remove-them,www.tommysflooring.ca,85,"Mix one tablespoon of liquid dish soap, one tablespoon of white vinegar, and two cups of warm water...","http://www.copyscape.com/probrowse.php?u=lightwaydigital&c=c2366b4&batch=8&l=8&page=1#10","Same fix as 10,1 - all dish soap/vinegar/water recipes reworded"
